rule_nrcg_name,protocols_nrcg,source_ip_groups,destination_ip_groups,destination_ports_nrcg,destination_addresses_nrcg,destination_fqdns_nrcg
"Network Rule1","TCP","/subscriptions/a8f92906-72b6-4a4d-930b-7154d0f0847f/resourceGroups/abrpl-si-cnct-core-rg01/providers/Microsoft.Network/ipGroups/si_nws_rule01","/subscriptions/a8f92906-72b6-4a4d-930b-7154d0f0847f/resourceGroups/abrpl-si-cnct-core-rg01/providers/Microsoft.Network/ipGroups/si_nwd_rule01","1433",,
"Network Rule4","TCP","/subscriptions/a8f92906-72b6-4a4d-930b-7154d0f0847f/resourceGroups/abrpl-si-cnct-core-rg01/providers/Microsoft.Network/ipGroups/si_nws_rule04","/subscriptions/a8f92906-72b6-4a4d-930b-7154d0f0847f/resourceGroups/abrpl-si-cnct-core-rg01/providers/Microsoft.Network/ipGroups/si_nwd_rule04","1433",,
"Network Rule7","TCP","/subscriptions/a8f92906-72b6-4a4d-930b-7154d0f0847f/resourceGroups/abrpl-si-cnct-core-rg01/providers/Microsoft.Network/ipGroups/si_nws_rule07","/subscriptions/a8f92906-72b6-4a4d-930b-7154d0f0847f/resourceGroups/abrpl-si-cnct-core-rg01/providers/Microsoft.Network/ipGroups/si_nwd_rule07","1433",,
"Network Rule8","TCP","/subscriptions/a8f92906-72b6-4a4d-930b-7154d0f0847f/resourceGroups/abrpl-si-cnct-core-rg01/providers/Microsoft.Network/ipGroups/si_nws_rule08","/subscriptions/a8f92906-72b6-4a4d-930b-7154d0f0847f/resourceGroups/abrpl-si-cnct-core-rg01/providers/Microsoft.Network/ipGroups/si_nwd_rule08","1433",,
